id,ageRating,countries,genres,name,updatedAt,year,sequelsAndPrequels,createdAt,networks,audience,totalSeriesLength,rating_kp,rating_imdb,rating_tmdb,rating_filmCritics,rating_russianFilmCritics,rating_await,fees_world_value,fees_world_currency,fees_russia_value,fees_russia_currency,fees_usa_value,fees_usa_currency,budget_value,budget_currency,votes_kp,votes_imdb,votes_tmdb,votes_filmCritics,votes_russianFilmCritics,votes_await,genres_str,genre_count,countries_str,audience_total,has_sequel
1211730,18.0,"[{'name': 'Франция'}, {'name': 'Бельгия'}]","[{'name': 'драма'}, {'name': 'комедия'}]",Лучшее впереди,2026-03-01T22:56:14.065Z,2019,"[{'id': 5404799, 'name': 'Достучаться до небес 2', 'alternativeName': 'Das Beste kommt noch!', 'type': 'movie', 'relationType': 'REMAKE', 'poster': {'url': 'https://avatars.mds.yandex.net/get-kinopoisk-image/4716873/7cfc1a3b-ba71-4808-bde4-9313434ed3f6/600x900', 'previewUrl': 'https://avatars.mds.yandex.net/get-kinopoisk-image/4716873/7cfc1a3b-ba71-4808-bde4-9313434ed3f6/300x450'}, 'year': 2023}]",2025-12-31T03:08:20.144Z,,,,7.443,6.7,,0.0,0.0,0,7683953.0,$,,,,,,,8195,2700,,0,0,0,"драма, комедия",2,"Франция, Бельгия",0,True
1211682,,[{'name': 'Германия'}],"[{'name': 'драма'}, {'name': 'криминал'}]",Всего лишь женщина,2026-02-28T23:56:43.832Z,2019,,2019-01-01T00:00:00.000Z,,,,7.184,7.6,7.342,0.0,0.0,0,10786.0,$,,,,,,,400,2900,79.0,0,0,0,"драма, криминал",2,Германия,0,False
1211627,,[{'name': 'США'}],"[{'name': 'короткометражка'}, {'name': 'драма'}]",Прочувствовать,2026-02-23T06:33:45.001Z,2020,[],2019-01-01T00:00:00.000Z,,,,7.219,7.5,,0.0,0.0,0,0.0,,,,,,,,291,2200,,0,0,0,"короткометражка, драма",2,США,0,False
1211462,18.0,[{'name': 'Франция'}],[{'name': 'драма'}],Милашки,2026-02-24T09:54:24.494Z,2020,[],2019-01-01T00:00:00.000Z,,,,4.774,3.6,,7.0,0.0,0,692459.0,$,,,,,,,2641,33000,,80,0,0,драма,1,Франция,0,False
1211403,,"[{'name': 'Италия'}, {'name': 'Франция'}]","[{'name': 'драма'}, {'name': 'криминал'}]",Безжалостный,2026-02-28T11:22:38.756Z,2019,,2026-01-04T13:07:09.658Z,{'items': [{'name': 'Netflix'}]},,,5.979,6.3,,0.0,0.0,0,0.0,,,,,,,,989,7400,,0,0,0,"драма, криминал",2,"Италия, Франция",0,False
1211399,18.0,[{'name': 'Италия'}],[{'name': 'триллер'}],Гости на вилле,2026-02-25T18:58:37.586Z,2020,,2024-04-13T05:30:59.808Z,,,,5.441,5.7,5.9,0.0,0.0,0,197480.0,$,8678.0,$,,,,,2725,425,87.0,0,0,0,триллер,1,Италия,0,False
1211319,18.0,[{'name': 'Австралия'}],"[{'name': 'драма'}, {'name': 'мелодрама'}, {'name': 'биография'}, {'name': 'музыка'}]",Я — женщина,2026-02-18T17:22:43.731Z,2019,,2024-04-13T05:50:14.751Z,,,,7.042,6.6,,0.0,0.0,0,384551.0,$,,,,,,,1928,3200,,0,0,0,"драма, мелодрама, биография, музыка",4,Австралия,0,False
1211296,18.0,[{'name': 'США'}],"[{'name': 'триллер'}, {'name': 'драма'}]",Человеческий капитал,2026-02-24T20:41:54.349Z,2019,"[{'id': 723656, 'name': 'Цена человека', 'alternativeName': 'Il capitale umano', 'type': 'movie', 'relationType': 'REMAKE', 'poster': {'url': 'https://avatars.mds.yandex.net/get-kinopoisk-image/1599028/87c682b2-3bdd-4ca0-a6c0-dcd215a78ea4/600x900', 'previewUrl': 'https://avatars.mds.yandex.net/get-kinopoisk-image/1599028/87c682b2-3bdd-4ca0-a6c0-dcd215a78ea4/300x450'}, 'year': 2013}]",2019-01-01T00:00:00.000Z,,,,5.615,5.7,,6.0,0.0,0,6596.0,$,,,6596.0,$,,,622,9800,,65,0,0,"триллер, драма",2,США,0,True
1211076,18.0,"[{'name': 'США'}, {'name': 'Германия'}, {'name': 'Швеция'}, {'name': 'Франция'}, {'name': 'Великобритания'}]","[{'name': 'драма'}, {'name': 'мелодрама'}, {'name': 'комедия'}]",Французский вестник. Приложение к газете «Либерти. Канзас ивнинг сан»,2026-03-01T12:13:31.013Z,2020,,2019-01-01T00:00:00.000Z,,"[{'count': 428772, 'country': 'Россия'}]",,7.468,7.1,,7.1,79.1667,0,46333545.0,$,2170569.0,$,16124375.0,$,25000000.0,$,83981,166000,,321,24,0,"драма, мелодрама, комедия",3,"США, Германия, Швеция, Франция, Великобритания",0,False
1211182,,"[{'name': 'Испания'}, {'name': 'Франция'}]","[{'name': 'триллер'}, {'name': 'драма'}]",Мать,2026-02-21T18:10:21.227Z,2019,,2026-01-02T05:45:41.840Z,,,,6.384,6.6,,7.4,0.0,0,173117.0,$,,,,,,,546,2900,,25,0,0,"триллер, драма",2,"Испания, Франция",0,False
